Away Team,Away Spread,Home Spread,Home Team,Game Date,OVR,OFF,PASS,RUN,RECV,PBLK,RBLK,DEF,RDEF,TACK,PRSH,COV,OPP OVR,OPP OFF,OPP PASS,OPP RUN,OPP RECV,OPP PBLK,OPP RBLK,OPP DEF,OPP RDEF,OPP TACK,OPP PRSH,OPP COV
DAL,27.0,13.0,TEN,WEEK17,79.9,69.5,64.7,90.3,69.5,52.4,62.3,75.4,82.0,55.4,71.8,70.1,85.4,75.2,64.9,88.0,75.8,69.6,63.0,75.1,60.7,83.2,84.5,79.2
CHI,10.0,41.0,DET,WEEK17,81.0,79.0,71.7,84.2,80.9,63.4,68.8,60.4,55.5,62.8,71.2,48.8,62.8,69.2,50.9,85.9,62.1,68.2,73.1,47.3,34.9,49.2,52.2,60.8
DEN,24.0,27.0,KC,WEEK17,93.2,85.5,90.0,79.3,83.1,73.6,72.5,79.3,63.6,52.9,75.3,89.8,75.9,66.3,61.0,77.3,65.9,66.9,59.4,76.2,71.5,52.0,66.4,89.3
MIA,21.0,23.0,NE,WEEK17,81.2,72.0,71.2,81.5,71.6,72.5,56.7,75.8,71.7,87.1,73.5,75.0,84.9,79.0,77.3,76.4,83.0,59.3,69.9,71.7,75.9,47.0,80.4,52.5
IND,10.0,38.0,NYG,WEEK17,68.6,69.8,65.7,90.0,68.4,62.0,60.9,54.5,41.7,71.7,68.8,53.3,74.1,65.5,58.0,71.9,66.5,62.9,62.0,71.3,69.2,68.8,62.5,76.2
NO,20.0,10.0,PHI,WEEK17,93.7,85.0,80.7,85.9,80.4,84.9,76.5,85.9,67.9,55.9,90.1,89.2,82.3,73.9,80.9,83.1,75.8,61.7,53.0,71.7,65.6,47.4,67.0,78.1
CAR,24.0,30.0,TB,WEEK17,77.0,71.8,75.8,63.8,72.3,75.0,53.9,67.6,57.8,53.0,64.3,80.7,72.9,67.7,58.3,83.6,67.8,72.8,56.0,65.6,68.7,47.8,68.2,54.2
SF,37.0,34.0,LV,WEEK17,79.7,76.3,65.4,90.9,79.3,73.0,57.9,62.2,58.2,41.1,69.4,53.5,93.1,82.4,73.6,82.6,88.0,74.4,66.9,84.8,74.4,90.0,76.4,91.5
NYJ,6.0,23.0,SEA,WEEK17,80.8,75.9,74.1,90.0,77.7,64.2,57.8,64.7,62.0,45.0,65.1,63.5,79.1,62.9,47.6,77.2,71.4,59.2,52.0,85.3,74.0,51.0,81.6,89.7
MIN,17.0,41.0,GB,WEEK17,81.4,76.3,76.9,91.5,70.3,77.6,55.9,67.4,53.1,57.6,71.5,77.7,92.5,81.6,77.3,79.4,82.0,66.6,74.5,81.1,85.4,85.5,75.2,71.3
