week,ATS Win %,ML Win %,Weekly Risk,ATS Payout,ML Payout,Weekly Profit,Season ATS Winning %,Season ML Winning %,Season Risk,Season Profit
WEEK18,0.0,1.0,100,-100.0,6.0,-94.0,,,300,-204.0
WEEK17,0.0,0.5,200,-200.0,-87.00000000000001,-287.0,,,300,-204.0
WEEK16,1.0,1.0,100,90.0,20.0,110.0,,,300,-204.0
WEEK15,0.0,1.0,100,-100.0,50.0,-50.0,,,300,-204.0
WEEK14,1.0,1.0,100,90.0,56.0,146.0,,,300,-204.0
WEEK13,1.0,1.0,100,90.0,45.0,135.0,,,300,-204.0
WEEK12,0.6666666666666666,1.0,300,80.0,78.0,158.0,,,300,-204.0
WEEK11,,,0,0.0,0.0,0.0,,,300,-204.0
WEEK10,0.0,0.0,100,-100.0,-100.0,-200.0,,,300,-204.0
WEEK9,0.0,1.0,100,-100.0,11.000000000000014,-88.99999999999999,,,300,-204.0
WEEK8,1.0,1.0,200,180.0,37.999999999999986,218.0,,,300,-204.0
WEEK7,0.0,0.0,100,-100.0,-100.0,-200.0,,,300,-204.0
WEEK6,,,0,0.0,0.0,0.0,,,300,-204.0
WEEK5,0.0,0.6666666666666666,300,-300.0,-47.0,-347.0,,,300,-204.0
WEEK4,1.0,1.0,100,90.0,34.0,124.0,,,300,-204.0
WEEK3,,,0,0.0,0.0,0.0,,,300,-204.0
WEEK2,0.6666666666666666,1.0,300,80.0,92.0,172.0,,,300,-204.0
WEEK1,,,0,0.0,0.0,0.0,,,300,-204.0
