Game Date,Home Score,Away Score,Home Odds Close,Away Odds Close,Home Line Close,Away Line Close,Home Team,Away Team
WEEK18,16.0,20.0,1.43,2.95,-4.0,4.0,GB,DET
WEEK10,30.0,31.0,1.62,2.4,-3.0,3.0,CHI,DET
WEEK5,29.0,0.0,1.64,2.35,-3.0,3.0,NE,DET
WEEK11,18.0,31.0,1.6,2.45,-3.0,3.0,NYG,DET
WEEK7,24.0,6.0,1.32,3.45,-7.0,7.0,DAL,DET
WEEK16,37.0,23.0,2.15,1.74,2.5,-2.5,CAR,DET
WEEK3,28.0,24.0,1.37,3.2,-6.5,6.5,MIN,DET
WEEK15,17.0,20.0,1.74,2.15,-2.0,2.0,NYJ,DET
WEEK17,41.0,17.0,1.54,2.65,-3.5,3.5,GB,MIN
WEEK10,30.0,33.0,1.38,3.15,-6.0,6.0,BUF,MIN
WEEK18,13.0,29.0,3.3,1.36,6.5,-6.5,CHI,MIN
WEEK6,16.0,24.0,2.5,1.58,3.0,-3.0,MIA,MIN
WEEK4,25.0,28.0,2.75,1.47,4.0,-4.0,NO,MIN
WEEK2,24.0,7.0,1.68,2.25,-2.5,2.5,PHI,MIN
WEEK9,17.0,20.0,2.45,1.6,3.0,-3.0,WAS,MIN
WEEK14,34.0,23.0,1.8,2.05,-2.0,2.0,DET,MIN
WEEK15,24.0,12.0,1.27,3.9,-7.5,7.5,GB,LAR
WEEK11,27.0,20.0,1.71,2.2,-2.5,2.5,NO,LAR
WEEK18,19.0,16.0,1.45,2.8,-4.5,4.5,SEA,LAR
WEEK4,24.0,9.0,1.8,2.05,-1.5,1.5,SF,LAR
WEEK17,31.0,10.0,1.36,3.25,-6.5,6.5,LAC,LAR
WEEK12,26.0,10.0,1.07,9.0,-15.5,15.5,KC,LAR
WEEK9,16.0,13.0,1.64,2.35,-3.0,3.0,TB,LAR
WEEK3,12.0,20.0,2.55,1.57,3.5,-3.5,ARZ,LAR
WEEK11,17.0,27.0,1.58,2.5,-3.0,3.0,GB,TEN
WEEK2,41.0,7.0,1.22,4.5,-10.0,10.0,BUF,TEN
WEEK4,17.0,24.0,1.52,2.67,-3.5,3.5,IND,TEN
WEEK18,20.0,16.0,1.36,3.3,-6.5,6.5,JAX,TEN
WEEK13,35.0,10.0,1.45,2.8,-4.5,4.5,PHI,TEN
WEEK5,17.0,21.0,1.95,1.86,1.0,-1.0,WAS,TEN
WEEK15,17.0,14.0,1.65,2.35,-3.0,3.0,LAC,TEN
WEEK8,10.0,17.0,2.0,1.83,1.0,-1.0,HST,TEN
WEEK9,20.0,17.0,1.11,6.75,-14.0,14.0,KC,TEN
WEEK10,31.0,28.0,2.7,1.5,3.5,-3.5,GB,DAL
WEEK15,40.0,34.0,2.67,1.52,4.0,-4.0,JAX,DAL
WEEK6,26.0,17.0,1.34,3.35,-6.5,6.5,PHI,DAL
WEEK18,26.0,6.0,3.75,1.29,7.5,-7.5,WAS,DAL
WEEK3,16.0,23.0,1.86,1.95,-1.0,1.0,NYG,DAL
WEEK17,13.0,27.0,7.0,1.11,14.0,-14.0,TEN,DAL
WEEK5,10.0,22.0,1.43,2.9,-5.0,5.0,LAR,DAL
WEEK11,3.0,40.0,2.1,1.76,2.0,-2.0,MIN,DAL
WEEK6,10.0,27.0,1.27,3.9,-7.5,7.5,GB,NYJ
WEEK14,20.0,12.0,1.2,4.75,-10.0,10.0,BUF,NYJ
WEEK7,9.0,16.0,2.1,1.76,2.0,-2.0,DEN,NYJ
WEEK18,11.0,6.0,1.54,2.65,-3.5,3.5,MIA,NYJ
WEEK4,20.0,24.0,1.62,2.4,-3.0,3.0,PIT,NYJ
WEEK17,23.0,6.0,2.05,1.8,1.5,-1.5,SEA,NYJ
WEEK11,10.0,3.0,1.55,2.6,-3.5,3.5,NE,NYJ
WEEK2,30.0,31.0,1.36,3.25,-6.5,6.5,CLV,NYJ
WEEK13,27.0,22.0,1.64,2.35,-3.0,3.0,MIN,NYJ
WEEK5,22.0,27.0,1.23,4.25,-9.0,9.0,GB,NYG
WEEK7,17.0,23.0,1.6,2.45,-3.0,3.0,JAX,NYG
WEEK18,22.0,16.0,1.06,10.5,-17.0,17.0,PHI,NYG
WEEK8,27.0,13.0,1.58,2.5,-3.0,3.0,SEA,NYG
WEEK15,12.0,20.0,1.5,2.7,-4.0,4.0,WAS,NYG
WEEK1,20.0,21.0,1.4,3.1,-5.5,5.5,TEN,NYG
WEEK12,28.0,20.0,1.2,4.75,-10.0,10.0,DAL,NYG
WEEK16,27.0,24.0,1.45,2.8,-4.5,4.5,MIN,NYG
WEEK4,27.0,24.0,1.22,4.5,-9.5,9.5,GB,NE
WEEK18,35.0,23.0,1.26,4.0,-8.0,8.0,BUF,NE
WEEK1,20.0,7.0,1.58,2.5,-3.0,3.0,MIA,NE
WEEK2,14.0,17.0,2.35,1.64,3.0,-3.0,PIT,NE
WEEK15,30.0,24.0,1.74,2.15,-2.5,2.5,LV,NE
WEEK14,13.0,27.0,2.15,1.74,2.5,-2.5,ARZ,NE
WEEK6,15.0,38.0,1.66,2.3,-2.5,2.5,CLV,NE
WEEK12,33.0,26.0,1.68,2.25,-2.5,2.5,MIN,NE
WEEK8,17.0,22.0,2.4,1.62,3.0,-3.0,NYJ,NE
WEEK2,27.0,10.0,1.2,4.75,-10.0,10.0,GB,CHI
WEEK11,27.0,24.0,1.71,2.2,-2.5,2.5,ATL,CHI
WEEK17,41.0,10.0,1.45,2.8,-4.5,4.5,DET,CHI
WEEK7,14.0,33.0,1.25,4.2,-8.5,8.5,NE,CHI
WEEK4,20.0,12.0,1.66,2.3,-3.0,3.0,NYG,CHI
WEEK8,49.0,29.0,1.22,4.5,-10.0,10.0,DAL,CHI
WEEK5,29.0,22.0,1.25,4.1,-8.5,8.5,MIN,CHI
WEEK12,31.0,10.0,1.27,3.8,-7.5,7.5,NYJ,CHI
WEEK18,30.0,17.0,1.38,3.15,-6.0,6.0,ATL,TB
WEEK2,10.0,20.0,2.25,1.68,2.5,-2.5,NO,TB
WEEK6,20.0,18.0,4.5,1.22,10.0,-10.0,PIT,TB
WEEK14,35.0,7.0,1.56,2.6,-3.5,3.5,SF,TB
WEEK16,16.0,19.0,4.0,1.26,7.5,-7.5,ARZ,TB
WEEK1,3.0,19.0,2.15,1.74,2.5,-2.5,DAL,TB
WEEK7,21.0,3.0,6.25,1.13,13.0,-13.0,CAR,TB
WEEK12,23.0,17.0,2.55,1.57,3.0,-3.0,CLV,TB
WEEK17,20.0,19.0,1.34,3.35,-6.5,6.5,ATL,ARZ
WEEK15,24.0,15.0,1.8,2.05,-1.5,1.5,DEN,ARZ
WEEK6,19.0,9.0,2.15,1.74,2.5,-2.5,SEA,ARZ
WEEK18,38.0,13.0,1.08,8.5,-14.5,14.5,SF,ARZ
WEEK2,23.0,29.0,1.42,2.95,-5.5,5.5,LV,ARZ
WEEK10,17.0,27.0,1.55,2.6,-3.5,3.5,LAR,ARZ
WEEK4,16.0,26.0,1.86,1.95,-1.0,1.0,CAR,ARZ
WEEK8,34.0,26.0,1.5,2.7,-4.0,4.0,MIN,ARZ
WEEK13,16.0,19.0,2.0,1.83,1.5,-1.5,ATL,PIT
WEEK5,38.0,3.0,1.1,7.25,-14.0,14.0,BUF,PIT
WEEK1,20.0,23.0,1.3,3.65,-7.0,7.0,CIN,PIT
WEEK12,17.0,24.0,1.71,2.2,-2.5,2.5,IND,PIT
WEEK7,16.0,10.0,1.29,3.7,-7.0,7.0,MIA,PIT
WEEK8,35.0,13.0,1.16,5.5,-11.5,11.5,PHI,PIT
WEEK17,13.0,16.0,1.87,1.95,-1.0,1.0,BLT,PIT
WEEK15,16.0,24.0,1.69,2.25,-2.5,2.5,CAR,PIT
WEEK3,29.0,17.0,1.45,2.8,-4.5,4.5,CLV,PIT
WEEK9,17.0,20.0,2.25,1.68,2.5,-2.5,ATL,LAC
WEEK18,31.0,28.0,1.36,3.3,-6.5,6.5,DEN,LAC
WEEK16,3.0,20.0,2.7,1.5,3.5,-3.5,IND,LAC
WEEK10,22.0,16.0,1.27,3.9,-8.0,8.0,SF,LAC
WEEK13,27.0,20.0,1.68,2.25,-2.5,2.5,LV,LAC
